trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-85.14607170016502,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-109.24905854754992,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-154.52389288219226,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-52.148255973359845,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-115.82107627481717,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-86.59333979117977,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,12,-65.46795079967475,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,10,-171.82459864430362,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-67.19948862549317,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-158.59020574058667,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,13,-11.535593887605238,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-111.36379730733627,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,21.034999355430983,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,9,-3.6742979531729096,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,-86.50859606483681,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,15,-100.75287020245153,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,10,2.1216494679392777,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-48.43036911256794,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-64.1088676776371,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,19,17.90344775299742,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,8,14.287505065203177,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,12,-152.3275555529773,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 4}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,8,12.733785306613976,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,15,17.331242634271753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-23.63600866166198,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,12,0.11621389970822116,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,20.40243620427976,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,5,-5.069172489611706,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,18,11.908375126734008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.170537059868312,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
