trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.956352499790037}",25,17,-9.13104607451005,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.3, 'e': 0.9146101038546527}",30,0,-169.6780033609719,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.8746896591546225}",25,0,-102.9522589024388,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.8365116420730186}",30,0,-162.2437391209992,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.8}",20,10,-21.858815327982352,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.7650819998320296}",20,0,-26.076030027923625,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.7316880830837221}",30,0,-163.3067777658681,"{0: 18, 1: 5, 2: 2, 3: 3, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.6997517273236981}",25,9,-45.07100734089173,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.669209313658415}",20,0,-90.52474374860729,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.6400000000000001}",20,13,-16.267542891042645,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.6120655998656237}",30,9,-138.55975385282088,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 3}",1
12,False,"{'a': 0.3, 'e': 0.5853504664669777}",20,0,13.823483431170658,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.5598013818589584}",25,0,-50.95033981948562,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.535367450926732}",20,0,-51.537982787541495,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.5120000000000001}",20,2,-21.56198530847417,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.489652479892499}",30,10,-49.78845062863428,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.46828037317358223}",25,10,-18.49995781401062,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.44784110548716677}",20,0,-34.259064309353086,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.4282939607413856}",25,0,-150.37738505281547,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.3, 'e': 0.4096000000000001}",25,8,-127.6229410590495,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 3}",1
21,False,"{'a': 0.3, 'e': 0.3917219839139992}",25,12,-95.70031801967093,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 2}",1
22,False,"{'a': 0.3, 'e': 0.3746242985388658}",30,0,-168.27367407733527,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.3, 'e': 0.3582728843897334}",25,0,-79.79409371231613,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.34263516859310844}",25,15,10.948740742655783,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.3276800000000001}",25,13,7.35577360492503,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.3, 'e': 0.3133775871311994}",25,0,-71.382461697818,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.3, 'e': 0.2996994388310927}",25,12,-58.285215708666904,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.3, 'e': 0.28661830751178674}",25,12,-41.322322442752764,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.3, 'e': 0.27410813487448676}",20,9,-56.93858747239832,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
30,False,"{'a': 0.3, 'e': 0.2621440000000001}",20,8,-25.678274791449486,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.3, 'e': 0.2507020697049595}",20,9,-66.04322557536454,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 1}",1
32,False,"{'a': 0.3, 'e': 0.23975955106487415}",20,0,-45.58073314324792,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.3, 'e': 0.2292946460094294}",25,0,-78.7233619077795,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
34,False,"{'a': 0.3, 'e': 0.21928650789958942}",20,0,-68.25387774013127,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.20971520000000007}",20,7,-62.004681396273725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.3, 'e': 0.20056165576396764}",25,1,-9.94354545975779,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.19180764085189933}",20,0,-37.48942800618369,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.18343571680754353}",35,15,-47.627478620024576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
39,False,"{'a': 0.3, 'e': 0.17542920631967154}",30,15,-10.139582123335263,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.1677721600000001}",25,12,3.91609682320054,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.1604493246111741}",25,10,-10.85570435437415,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.3, 'e': 0.15344611268151948}",25,16,0.9933375359344012,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.14674857344603487}",30,0,-147.66957193350703,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
44,False,"{'a': 0.3, 'e': 0.14034336505573725}",30,1,-13.626767215474798,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.13421772800000006}",20,9,12.866505388319128,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.12835945968893928}",20,12,15.329214337808718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.12275689014521558}",30,18,10.341433175580432,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.11739885875682785}",20,0,-66.091822899752,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.3, 'e': 0.11227469204458981}",25,9,-11.338816779441542,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.10737418240000006}",25,0,5.467904472479457,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.3, 'e': 0.10268756775115143}",20,0,-1.3384196791906455,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.09820551211617247}",20,0,20.63491788615587,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.09391908700546228}",20,4,-5.983162912514443,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.08981975363567185}",20,9,7.3834016712456645,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.08589934592000005}",25,12,22.180424644495243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.08215005420092114}",25,18,14.630168090151502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.07856440969293797}",20,4,-12.308080891782677,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.3, 'e': 0.07513526960436984}",30,21,4.313728009761233,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.07185580290853749}",20,1,-20.699809450525983,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
