trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9955470727844663}",25,0,-176.51956910903496,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.9911139741297195}",25,0,-73.96201718967792,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.9867006157406214}",20,0,-135.1917725774114,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.9823069097152062}",20,0,-135.6909883866295,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.9779327685429285}",25,0,-139.37152018064438,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.9735781051029215}",20,0,-57.801477457990124,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.969242832662261}",20,0,-120.11778292406986,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.9649268648742382}",30,0,-81.1291497992513,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.96063011577664}",20,0,-80.79074197705307,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.956352499790037}",30,0,-101.8549322757516,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.9520939317160783}",20,13,-0.7373961628032011,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.3, 'e': 0.9478543267357953}",25,0,-106.05756121759522,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.943633600407912}",30,0,-233.70539457517614,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.3, 'e': 0.9394316686671635}",20,0,-115.27533772082876,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.9352484478226214}",20,0,-92.92858290977473,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.9310838545560264}",30,0,-152.4680553008953,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.3, 'e': 0.9269378059201298}",25,0,-266.154641555852,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 5}",0
18,False,"{'a': 0.3, 'e': 0.922810219337041}",20,9,-53.09780777208117,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.3, 'e': 0.9187010125965824}",25,0,-153.59524336521125,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.3, 'e': 0.9146101038546527}",30,0,-197.68063150546558,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
21,False,"{'a': 0.3, 'e': 0.9105374116315962}",25,0,-192.9847997216797,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
22,False,"{'a': 0.3, 'e': 0.9064828548105802}",20,2,-77.5811664193039,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
23,False,"{'a': 0.3, 'e': 0.9024463526359795}",20,0,-51.91042384960251,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.8984278247117677}",25,1,-72.11171906593466,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.8944271909999159}",25,0,-147.00722470935952,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0.3, 'e': 0.890444371818799}",20,0,-30.891009230286368,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.8864792878416082}",20,0,-103.97887560849158,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.8825318600947715}",25,0,-58.328204940384076,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.8786020099563798}",20,0,-87.09632938823276,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.3, 'e': 0.8746896591546225}",30,0,-266.40366213715185,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
31,False,"{'a': 0.3, 'e': 0.870794729766227}",20,0,-104.03918814670322,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.8669171442149076}",30,4,-56.17021467306362,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.8630568252698203}",20,0,-99.32106273475168,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.8592136960440242}",30,0,-247.85103955383062,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
35,False,"{'a': 0.3, 'e': 0.8553876799929504}",20,0,-189.67543460409573,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
36,False,"{'a': 0.3, 'e': 0.8515787009128776}",25,0,-135.9394188436815,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
37,False,"{'a': 0.3, 'e': 0.8477866829394138}",20,0,-38.22481340446108,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.8440115505459859}",20,0,-184.9453619781744,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
39,False,"{'a': 0.3, 'e': 0.8402532285423349}",25,0,-77.88577535659644,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.3, 'e': 0.8365116420730186}",25,13,-57.70519844535111,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
41,False,"{'a': 0.3, 'e': 0.8327867166159209}",30,7,-119.5204824901258,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 2}",1
42,False,"{'a': 0.3, 'e': 0.8290783779807669}",20,5,-46.38118319767461,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.8253865523076458}",25,0,-49.1008679963359,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.3, 'e': 0.8217111660655395}",20,0,-92.67467928790593,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
45,False,"{'a': 0.3, 'e': 0.8180521460508584}",25,0,-97.92960161797964,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.8144094193859828}",25,0,-97.87595958545386,"{0: 13, 1: 9, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.810782913517812}",20,0,-106.15864722786645,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
48,False,"{'a': 0.3, 'e': 0.8071725562163188}",35,12,-79.18715569340364,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.3, 'e': 0.8035782755731112}",25,6,-23.0346356819591,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.8}",20,0,-30.859767015831256,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.3, 'e': 0.7964376582275731}",25,5,-101.04118076204176,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
52,False,"{'a': 0.3, 'e': 0.7928911793037756}",20,0,-129.3576341855322,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.3, 'e': 0.7893604925924972}",20,0,-180.5678208308854,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
54,False,"{'a': 0.3, 'e': 0.785845527772165}",20,0,-102.2905335788906,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.3, 'e': 0.7823462148343429}",25,8,-48.97594102517037,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
56,False,"{'a': 0.3, 'e': 0.7788624840823373}",25,0,-45.8207683088531,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 0.3, 'e': 0.7753942661298088}",20,0,-44.01149844396767,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.3, 'e': 0.7719414918993907}",25,0,-144.1479201799398,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
59,False,"{'a': 0.3, 'e': 0.7685040926213121}",20,0,-63.90103345440766,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.3, 'e': 0.7650819998320296}",20,0,-42.99606702663831,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.3, 'e': 0.7616751453728626}",20,0,-24.955031470316236,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.7582834613886362}",25,0,-48.57251560659141,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.7549068803263297}",25,0,-96.54260626875141,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.7515453349337309}",35,0,-154.45783380570077,"{0: 22, 1: 6, 2: 3, 3: 2, 4: 2}",0
65,False,"{'a': 0.3, 'e': 0.7481987582580971}",25,0,-72.86843125476119,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.3, 'e': 0.7448670836448211}",25,12,-47.09277831428807,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
67,False,"{'a': 0.3, 'e': 0.7415502447361039}",25,0,-94.75299562479339,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
68,False,"{'a': 0.3, 'e': 0.7382481754696327}",30,13,-50.025384771068666,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.734960810077266}",25,0,-36.80413355192743,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.3, 'e': 0.7316880830837221}",30,0,-123.1534457886699,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.3, 'e': 0.7284299293052771}",25,0,-81.18928958283988,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.3, 'e': 0.7251862838484643}",20,0,-28.574445097864192,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.3, 'e': 0.7219570821087837}",30,0,-127.41126123036511,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
74,False,"{'a': 0.3, 'e': 0.7187422597694142}",20,0,-120.04456683096517,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.3, 'e': 0.7155417527999328}",20,0,-55.49612254030773,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.3, 'e': 0.7123554974550392}",25,19,1.149953481188083,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.7091834302732867}",20,0,-22.1495050907918,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.3, 'e': 0.7060254880758172}",20,0,-90.91496299959859,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.3, 'e': 0.7028816079651039}",25,7,-38.366891407843084,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.6997517273236981}",30,10,-66.45506617574299,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.3, 'e': 0.6966357838129816}",20,0,-99.87224970439802,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
