trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.999}",25,0,-56.43385557869782,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.998}",25,0,-107.92705682802384,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.997}",20,0,-162.79051029921186,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.3, 'e': 0.996}",25,0,-209.27442403278081,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.3, 'e': 0.995}",20,0,-148.80802450242652,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.994}",30,0,-152.74701031521698,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.993}",20,0,-36.825487009604686,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.992}",20,0,-107.38742962278613,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.991}",25,0,-240.90439660754888,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 4}",0
10,False,"{'a': 0.3, 'e': 0.99}",25,0,-197.23404607436242,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.3, 'e': 0.989}",20,0,-33.280560460471136,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.988}",25,0,-116.33693726637183,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.987}",25,0,-83.01230297076972,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.986}",25,0,-231.61611490420353,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.985}",20,0,-117.26417201012872,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.984}",20,10,-43.30876748035256,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.3, 'e': 0.983}",25,0,-125.60989612883782,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.982}",25,8,-108.50563593719892,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 1}",1
19,False,"{'a': 0.3, 'e': 0.981}",25,0,-127.85117836059818,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.98}",20,0,-96.49202560456467,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.979}",30,0,-198.99839627770288,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.978}",25,0,-120.2277041824991,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.977}",20,0,-165.9194862285555,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.976}",20,0,-64.89303132413855,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.975}",20,0,-139.8722068377707,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.974}",20,0,-137.89188507204287,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.973}",25,0,-119.43226832028903,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.972}",20,8,-65.99084636510077,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.971}",30,0,-152.68469445921386,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.97}",20,0,-84.85604740896899,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.3, 'e': 0.969}",30,0,-89.67005607000327,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.968}",25,0,-164.05073782070693,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
33,False,"{'a': 0.3, 'e': 0.967}",20,0,-102.50677116768335,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
34,False,"{'a': 0.3, 'e': 0.966}",20,16,7.536322172040574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.965}",20,0,-204.06214957979577,"{0: 6, 1: 4, 2: 7, 3: 0, 4: 3}",0
36,False,"{'a': 0.3, 'e': 0.964}",30,0,-123.78260003400364,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
37,False,"{'a': 0.3, 'e': 0.963}",20,3,-65.64386059944884,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
38,False,"{'a': 0.3, 'e': 0.962}",25,0,-69.41361892863992,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.961}",25,4,-206.57727951892926,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 4}",1
40,False,"{'a': 0.3, 'e': 0.96}",25,0,-52.562408309736426,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.3, 'e': 0.959}",20,0,-122.14207046491993,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.3, 'e': 0.958}",20,0,-96.01482740694019,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.3, 'e': 0.957}",20,0,-151.26154657885098,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.956}",25,0,-112.56599296588202,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.955}",20,0,-114.77614189957116,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.954}",20,0,-92.5095040650134,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.953}",30,0,-121.6239940114925,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.3, 'e': 0.952}",20,0,-24.239410146135796,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.951}",20,0,-137.2167865618025,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
50,False,"{'a': 0.3, 'e': 0.95}",20,0,-99.27956850566214,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.3, 'e': 0.949}",25,0,-152.8182717936393,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
52,False,"{'a': 0.3, 'e': 0.948}",20,6,-88.28770657334957,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.3, 'e': 0.947}",20,0,-99.37138834868405,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
54,False,"{'a': 0.3, 'e': 0.946}",20,0,-65.14910095045754,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.3, 'e': 0.945}",20,0,-150.9404241254605,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
56,False,"{'a': 0.3, 'e': 0.944}",25,0,-194.84074299178602,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
57,False,"{'a': 0.3, 'e': 0.943}",25,0,-88.72121289225338,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.3, 'e': 0.942}",20,0,-87.36982585528932,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
