trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-125.15572487782919,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,0,-72.58252400649171,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-102.02670295183293,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-90.90097889261236,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-92.71349289350374,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-51.836191985577955,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-204.60611882608612,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-113.01142807328715,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-142.11917968745882,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-53.309864878004085,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-63.3018178940365,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-81.86037174052072,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,12,-65.62632411482423,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-36.721667525998136,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-127.80097548047493,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-122.45891466445728,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-108.84081021733628,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,18,-1.0509367715935571,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
