trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.309249978924484,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-160.71021801393138,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,0,-15.84464247769731,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-55.49737198236969,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-49.40954447338166,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-16.367784856979085,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",35,0,-49.94492092582263,"{0: 31, 1: 1, 2: 0, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,-27.715937103289075,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,12.285883024253412,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.01}",25,0,-73.05786027914311,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-13.621162109575842,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,-102.12092478759008,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,6,-79.53666314617742,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,14,17.25513572831873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,10,-4.53314604579203,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",25,0,-45.36922205137641,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,9,-15.793239872464852,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,4.231850412233632,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,-20.192504155972625,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0025}",20,0,-22.550955546583847,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,7.770024746567511,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-19.9528433096261,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.272747469778828,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,11,15.528863616466772,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.104679972388116,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-34.38200505497803,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-7.966471489576305,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,9.050709614644532,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,8,-22.147707655523785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,0,-67.72199070293902,"{0: 30, 1: 2, 2: 1, 3: 0, 4: 2}",0
