trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",25,0,-130.97341107936828,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",25,0,-100.70585978125479,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",25,2,-165.54439179138367,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 3}",1
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",20,0,-97.93012583981714,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",30,0,-182.34947980529674,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",20,0,-132.28628854555566,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",25,0,-117.67763555162868,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",30,0,-161.28435620685062,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",20,0,-175.73946138309503,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",35,0,-212.4281471655475,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",25,0,-49.05295915624243,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",20,0,-107.06129865287573,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.34999999999999964}",25,0,-137.90804448219913,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.29999999999999966}",25,0,-124.9495919904988,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.24999999999999967}",35,0,-296.65558729438214,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 6}",0
16,False,"{'a': 0.3, 'e': 0.19999999999999968}",20,0,-101.65790506339356,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.3, 'e': 0.1499999999999997}",30,0,-229.55002876625935,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
18,False,"{'a': 0.3, 'e': 0.09999999999999969}",20,0,-70.11578121785458,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.049999999999999684}",20,0,-175.10761454685394,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.3, 'e': -3.191891195797325e-16}",25,2,-128.6611784283478,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-142.00702257170198,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.57983744051825,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.63857637128699,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-220.00672808403954,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-141.52252437684467,"{0: 9, 1: 4, 2: 11, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-100.08829218089006,"{0: 22, 1: 6, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.6023672707598,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-209.3544400426067,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,4,-65.17572664875352,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.82629356391648,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
